RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
Ces-1032423929;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Dejen de enviar esos mensaes de texto solicitando calificar el servicio;OTRO
Ces-1037577045;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Nunca recibi una respuesta a mi solicitud, sigo en las mismas;FALTA DE RESPUESTA
Ces-1098685784;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO
1691593427339-48;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Hola buena noche, tengo una preocupacion no me ha llegado a mi residencia las escrituras del levantamiento de la prenda, estoy preocupado hace 3 meses se hizo el levantamiento les pido el favor si me pueden colaborar les quedare agradecido.  ciencuadras no responde mis corrros;FALTA DE RESPUESTA
Ces-26869769;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me siento insatisfecha por que llevo dos meses esperando mi tarjeta que bloquee por que me querian hacer fraude  y no me han mandado la nueva  desde que llame esta en reparto y a mi casa no llega y en oficina tampoco que falta de respeto;OTRO
1694207727884-49;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;que los procesos sean mas faciles;INCONFORMIDAD SERVICIO
Pol-1107047210;DETRACTOR;Poderes Leasing Call Center;CLASICO;me toco llamar varias veces  y volver hacer otro radicado;DEMORA TRAMITE
1-38459659905;DETRACTOR;Copia De Documentos Cartera;CLASICO;ninguno por el momento;SIN COMENTARIO
1694113249182-39;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;REALMENTE LO LOGRE REALIZAR PORQUE PEDI UNA CITA CON EL GERENTE LOCAL PORQUE INTENTE VARIOS MESES;INCONFORMIDAD SERVICIO
1692379818554-00;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;Solicite un prestamo por leasing de $70.000.000 a una tasa de interes, me dijeron 1.8 y me salio una cuota a pagar  de 3.321.000 me estan atracando y de frente;OTRO
Ces-32256532;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;La pagina web es lo peor, siempre esta caida, nunca puedo ingresar con mi usuario y clave virtual. Es una completa perdida de tiempo. Deberian aprovechar mejor este medio y hacer que las clientes puedan utilizar realmente la pagina de manera eficiente y eficaz. Pesimo servicio;OTRO
1693497349235-89;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;deben cambiar de empresa, cien cuadras no resuelve dudas, tiene que mantener uno encima de ellos;INCONFORMIDAD SERVICIO
1-37330854937;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Anteriormente me han atendido mejor en el chat. La asesora me pidio una imagen de (evidencia de lo ocurrido). Y el chat se cerro;INCONFORMIDAD SERVICIO
1-38404354803;DETRACTOR;Copia De Documentos Cartera;PREMIUM;.DEL AREA DE CARTERA DE DAVIVIENDA NINGUNO DE LOS EMPLEADOS DEL BANCO TIENE   CONOCIMIENTO   LOS USUARIOS DE DAVIVIENDA QUEDARON HUERFANOS  .EL BANCO DAVIVIENDA A DESMEJORADO MUCHO SU SERVICIO Y HAN PUESTO PERSONAS MAS JOVENES   QUE NO SABEN NADA;INCONFORMIDAD SERVICIO
1-35722819148;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;deben de ser muy claros con los tramites para los pocesos;CLARIDAD INFORMACION
1-37921006463;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;no se ha aplicado por acuerdo ni requerimiento, cliente muy inconforme;INCONFORMIDAD SERVICIO
1-37449394940;DETRACTOR;Levantamiento De Hipoteca;PREMIUM PLUS;Llevo solicitando una proyeccion de pagos 2 meses y no ha llegado, hoy quedaron de llamarme del area de cartera y no llamaron. Donde puedo solicitarlo? En el call Center siempre envian lo que no estoy solicitando....Es muy complicado obtener la proyeccion de mis credito leasing?;OTRO
1696970330046-34;DETRACTOR;Poderes Leasing;CLASICO;.EL APARTAMENTO ESTABA EN MORA DESDE EL 2022 Y USTEDES NUNCA NO LO HICIEORN SABER NOS TOCO PAGAR 1 MILLON DE PESOS DE MULTA;OTRO
1-37487763478;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no me han enviado el certificado de libertad;INCONFORMIDAD SERVICIO
1-37380404823;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ninguno por el momento;SIN COMENTARIO
Pol-9732916;DETRACTOR;Poderes Leasing Call Center;CLASICO;*fue pesimo ,  *me dieron algo que nunca solicite *le ponen muchas trabas a los clientes .eso no ayuda en nada .;INCONFORMIDAD SERVICIO
1-36370991150;DETRACTOR;Poderes Leasing;PREMIUM PLUS;Tener que abrir una cuenta en una oficina para una multinacional es mal servicio si no tiene las herramientas para identificar el potencial de cliente ni las habilidades para resolver las dudas.;OTRO
Ces-1082997479;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Nunca recibi una respuesta a mi solicitud;FALTA DE RESPUESTA
Ces-53012816;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Esta bien que hagan su trabajo de cobranza. Pero no esta bien que despues de que le informen. U o sigan insistiendo cuando uno no tiene ni para comer. Por favor senores asesores respeto.;OTRO
1-37906452459;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;*no entiendo como compartieron los datos posterior a lo que fue el procedimiento y se comunico alguien conmigo que para hacer los traspasos pero no me dejaron y eso si me dejan un mal sin sabor;INCONFORMIDAD SERVICIO
Ces-1019067339;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Yo no estoy llamando a pedir absolutamente nada y me llegan estas encuestas exijo que validen y verifiquen si estan haciendo suplantacion requiero el historial de llamadas porque esto ya es sospechoso y genera desconfianza por parte de ustedes;OTRO
Ces-1068975528;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Quisiera saber porque me llegan estos mensajes, si no he tenido comunicacion con Davivienda para ningun tramite;OTRO
Ces-1075224422;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;La peor experiencia que he podido tener con cualquier entidad financiera. Davivienda es lo peor.;INCONFORMIDAD SERVICIO
Ces-1094895192;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Cero estrategia de retencion al cliente;OTRO
Ces-11200548;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Nunca pude usar la tarjeta de credito en convenio con Chevignon ni entrar al portal de clientes. Varias veces llame y me dijeron que tenian que escalar el caso para revision del error.  Luego de varias llamadas finalmente me informaron que la tarjeta habia sido cancelada sin ni siquiera notificarme de esto previamente.;OTRO
1689961082272-44;DETRACTOR;Certificaciones Especiales;CLASICO;Ridiculo que por cambiar un celular a un modelo nuevo tenga que ir a una oficina para registrar el equipo habiendo formas virtuales de hacerlo la aplicacion que mandan para para hacer el proceso toma mas las fotos de la cedula de la parte de atras y ahora por eso tengo que ir a una oficina hasta las 4 de la tarde, pésimo;OTRO
Ces-19315300;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No me resolvieron mi problema con Datacredito que tristeza con esta entidad;OTRO
1-38602887965;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;El sistema de Davivienda esta disenando para mantenernos endeudados y cobrarnos altos intereses, de manera oportunista y descarada, y deja a muchos de sus funcionarios sin posibilidad de resolver las situaciones del cliente. Abusivos!!;OTRO
1695677297186-00;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Atencion super especial. Gracias.;OTRO
1697659585384-13;DETRACTOR;Poderes Leasing;CLASICO;Aun no me solucionan;FALTA DE RESPUESTA
Ces-52273196;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Muy mal servicio de los asesores nunca le resulven las dudas al Cliente;OTRO
1-38277755984;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;El envio fue muy demorado;DEMORA TRAMITE
CES-79713051;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Ninguno;SIN COMENTARIO
Ces-80069615;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Los cajeros de la calle 26 c9n cra 13 son extremadamente complicados, no saben leer un codigo de barras, no sirven para nada.;OTRO
1-37578031031;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Para los usuarios que no tenemos otro producto mas alla de una deuda, es muy complejo hacer todo. En caso de prendas, la centralizacion en Bogota hace que el proceso sea muy lento y la actualizacion de datos deberia ser por internet y no yendo a una oficina;INCONFORMIDAD SERVICIO
Ces-51783256;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Nunca he solicitado certificaciones especiales en el area de collcenter creo que alguien esta clonando mi informacion;OTRO
CES-52224018;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me siento robada por el banco;INCONFORMIDAD SERVICIO
CES-79398030;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;Que me he comunicado tres veces por este medio y no me han dado solucion a mi requerimiento de una certificacion me dicen que despues me la envian a mi correo y no ha sido posible;FALTA DE RESPUESTA
CES-79649732;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mucho tiempo de espera tanto en oficinas (restrepo), se excusan q el sistema llegan de almorzar y 15 minutos sin atender a nadie y la directora tampoco hace nada por atender al publico ase cansa de esperar y se va.como en el call center.;OTRO
POL-1013663160;DETRACTOR;Poderes Leasing Call Center;CLASICO;El asesor muy desinteresado solo queria colgar la llamada y ya, se le notaba el afan sin resolver mis requerimientos;INCONFORMIDAD SERVICIO
CES-72138484;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Muy mala la me ponen la musica como si uno llamara para pedirles sus disquitos;INCONFORMIDAD SERVICIO
Ces-1067935227;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Para resolver cualquier inconveniente sobre reportes tiene que ser por telefono rojo aunque se alla pagado que mal servicio;OTRO
1-39350150432;DETRACTOR;Copia De Documentos Cartera;PREMIUM;LLEVO SOLICITANDO DESDE EL 3 DE NOVIEMBRE LA COPIA DE MI CONTRATO DE LEASING FIRMADO Y DESPUES DE SOLICITARLO DE VARIAS FORMAS, COMO ME LO HAN INDICADO, NO ME LO HAN ENVIADO. HA SIDO TERRIBLE EL TIEMPO PERDIDO. LO NECESITO URGENTE Y NO HAN ATENDIDO MI SOLICITUD. SUS CHAT NO SIRVEN, DEBO ESTAR 40 MINUTOS AL TELEFONO EN CADA LLAMADA Y NO ME DAN RESPUESTA. ES TERRIBLE;DEMORA TRAMITE
CES-19121020;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ESTOY MAL CON EL BANCO DAVIVIENDA YA QUE ME ESTAN COBRANDO UN DINERO QUE NO TENIAN PORQUE COBRARME ENTONCES TENGO MUY MALA EXPERIENCIA CON EL BANCO;OTRO
1689707811745-93;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;QUE ESTO ES UNA PLATAFORMA DONDE UNO NO HABLA CON UNA PERSONA REAL NO ES CLARO EL PROCESO NADA QUE VER LOS TIEMPO SON LARGOS NO HAY UNA PERSONA QUE LO ASESORE QUE LO LLAME QUE LE DIGA QUE VEA ESTO Y LO OTRO ME TOCO BUSCAR UNA PERSONA QUE ES AMIGA DAVIVIENDA PARA QUE LLAMARA PORQUE POR LA APLICACION ESO ES NULO ENTONCES SI ES MUY REGULAR LA ATENCION;INCONFORMIDAD SERVICIO
CES-1000832886;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO DAN INFORMACION DE NADA ,NO DECIA NADA , NO SALIA EL CUPO;OTRO
CES-34325267;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;HASTA LA FECHA LLEVO SOLICITANDO EL CERTIFICADO Y HASTA LA FECHA NO ME HAN ENVIADO LA FICHA Y HASTA EN EL MOMENTO NO HE TENIDO NINGUNA RESPUESTA DE PARTE DEL BANCO Y SE HA HECHO LA SOLICITUD POR TODOS LOS MEDIOS POSIBLES Y NO ME HAN DADO RESPUESTA;FALTA DE RESPUESTA
1698442210226-90;DETRACTOR;Poderes Leasing;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO
1-39271449270;DETRACTOR;Copia De Documentos Cartera;CLASICO;ME PARECE INJUSTO QUE SE DEMOREN MES Y MEDIO PARA ENTREGAR UN DOCUMENTO;DEMORA TRAMITE
1696966209640-42;DETRACTOR;Certificaciones Especiales;CLASICO;MEJORAR COMUNICACION ENTRE ASESORES PARA DAR INFORMACION;CLARIDAD INFORMACION
1691180296734-19;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;DURE TRES MESE EN EL PROCESO Y TODOS LOS ASESORES ME DABAN UNA INFORMACION DIFERENTE DEL PROCESO Y YA ME COMUNIQUE DIRECTAMENTE A LA PRENDA DE VEHICULO Y ME RESOLVIERON PERO ESTUVE TRES MESES EN ESTE PROCESO;INCONFORMIDAD SERVICIO
CES-52426757;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;POR LA LINEA NO ME RESOLVIERON NADA;INCONFORMIDAD SERVICIO
1695063474437-58;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME PASO QUE IBA A HACER LA VENTA DEL APARTAMENTO Y NO LA ASESORARON BIEN Y LE TOCO HACER PRIMERO EL LEVANTAMIENTO DE HIPOTECA Y LUEGO LO OTRO DESPUES DE QUE SE PODIAN HACER LOS DOS JUNTOS TODO POR UNA MALA INFORMACION;INCONFORMIDAD SERVICIO
POL-45755215;DETRACTOR;Poderes Leasing Call Center;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO
1-35844508398;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;QUE LE DEN MAS INFORMACION;CLARIDAD INFORMACION
1697145275522-55;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;MEJORAR EN CUANTO A ENTREGA DOCUMENTO A LEVANTAMIENTO DE PRENDA DE VEHICULO QUE LLEGARIA EN 7 DIAS HABILES, CLIENTE DICE QUE SE ACERCO A OFICINA Y ENCONTRO QUE NUNCA SE HABIA REALIZADO EL LEVANTAMIENTO DE PRENDA DE VEHICULO.;INCONFORMIDAD SERVICIO
1-38344118500;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO ME SENTI SATISFECHO;INCONFORMIDAD SERVICIO
CES-1017130565;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SER MAS CLAROS CON LA INFORMACION BRINDADA Y SER MAS AGILES;CLARIDAD INFORMACION
1695056917792-22;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME TOCO LEVANTAR TUTELA PARA QUE ME LA RESPONDIERAN;INCONFORMIDAD SERVICIO
1697737700040-05;DETRACTOR;Levantamiento De Hipoteca;CLASICO;CUANDO FUE  A REALIZAR LA SOLICITUD LA PUSIERON A ESPERAR MUCHO Y EN LA LINEA DE ATENCION SE DEMORA UNA HORA ASI QUE ES BASTANTE COMPLICADO PARA HACER LA SOLICITUD;INCONFORMIDAD SERVICIO
1-39031956903;DETRACTOR;Copia De Documentos Cartera;PREMIUM;NINGUNO POR EL MOMENTO;SIN COMENTARIO
POL-52254273;DETRACTOR;Poderes Leasing Call Center;PREMIUM PLUS;SIN COMENTAROS;SIN COMENTARIO
CES-1026297204;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;;SIN COMENTARIO
1697652669112-36;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;LA COMUNICACION DEBE SER MUY CLARA SIEMPRE;CLARIDAD INFORMACION
1689624397302-63;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO
-;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SIN COMENTARIOS;SIN COMENTARIO
-;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;QUE EL MENU PARA COMUNICARSE SEA MAS ESPECIFICO;OTRO
1698102533383-83;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;.MUCHA DEMORA EN EL PROCESO;DEMORA TRAMITE
1-39011365546;DETRACTOR;Copia De Documentos Cartera;CLASICO;SIN COMERNTARIOS;SIN COMENTARIO
1696523547366-71;DETRACTOR;Levantamiento De Hipoteca;CLASICO;EL SERVICIO ES MUY COSTOSO;INCONFORMIDAD SERVICIO
POL-1022389369;DETRACTOR;Poderes Leasing Call Center;CLASICO;.LES FALTAN ALTERNATIVAS NO ES CULPA DEL ASESOR ES MAS DEL BANCO;OTRO
1698870796928-81;DETRACTOR;Poderes Leasing;CLASICO;MEJORAR LA COMUNICACION ,ES MUY DURO COMUNICARSE CON USTEDES;OTRO
1692199039557-36;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME PARECIO QUE NO HAY UNA OFICINA DONDE UNO PUEDA A LLEVAR LOS DOCUMENTOS O RECLAMARLOS TODO POR INTERNET Y ES COMPLICADO Y NO ME GUSTO QUE NO HAY UNA ATENCION PERSONALIZADA TODO ME DICEN QUE ES POR INTERNET Y NO TODOS TENEMOS ESA CAPACIDAD DE MANEJAR LAS REDES Y PUES LOS ASESORES SON MUY AMABLES PERO EN SI NO HAY UNA PERSONA ENCARGADA DE QUE BRINDE LA INFORMACION TODO ES DIRECTAMENTE POR INTERNET ELLOS ALLA NO PUEDEN HACER NADA;INCONFORMIDAD SERVICIO
CES-19497594;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL TEMA FUE QUE CANCELE EL PLASTICO DE MI TC, POR UNA APARENTE OPERACION SOSPECHOSA, QUEDARON DE TRAER LA NUEVA A LA CASA Y NUNCA LLEGO, VOLVIA LLAMAR Y LA TRANSPORTADORA ARGUMENTO QUE LA DIRECCION NO EXISTE, Y ESTE EDIFICIO LLEVA MAS DE 30 ANOS, VOLVIERON A AGENDAR EL ENVIO Y HASTA EL SOL DE HOY NADA, LA PARTE POSITIVA ES QUE NO HE GASTADO GRACIAS A LA EFICIENCIA DE DAVIVIENDA.;OTRO
CES-1045698769;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME HAN SOLUCIONADO NADA, SOLO ME DICEN ESPERE ESPERE Y MIENTRAS TANTO ME ROBAN MI PLATA, AHORA NO ME RESPONDEN PPR LA COMPRA DE CARTERA ESTAFADORES;OTRO
CES-1140425949;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LA ATENCION ES PESIMA, LOS ASESORES NO TE DAN RESPUESTAS CLARAS, CUELGAN LAS LLAMADAS, HE INTENTADO PEDIR MI TARJETA MUCHAS VECES Y NO AVISAN CUANDO ME LA VAN A ENTREGAR Y ESPERAN QUE ESTE TODO EL DIA EN LA CASA PARA RECIBIRLA. LA APLICACION NO ES PARA NADA AMIGABLE, ES ABSURDO QUE NO SE PUEDAN REALIZAR LOS PAGOS DE UNA MANERA MAS SENCILLA Y QUE POR PSE SOLO SE PUEDA EL PAGO MINIMO. MUY DECEPCIONANTE;OTRO
1-39551567523;DETRACTOR;Poderes Leasing;CLASICO;SERVICIO AL CLIENTE COMPLETAMENTE PERDIDO EN EL TEMA EN CUESTION. Y ENVIAN INFORMACION ERRONEA.;CLARIDAD INFORMACION
CES-6004949;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;POR LA FALTA DE SOLUCION A MI PROCESO ME ESTAN PERJUDICANDO POR FAVOR DENME SOLUCION GRACIAS;OTRO
1-39473871146;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;LLAME 3 VECES HOY EN LA MANANA. UNA LLAMADA DEMORO 1 HORA 34 MINUTOS Y TUVE QUE COLGAR. VOLVI A LLAMAR Y ME DECIAN QUE ME TRANSFERIAN AL AREA ENCARGADA 3 VECES LO HICIERON PESIMA LA ATENCION DE HOY;OTRO
CES-72314530;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO SE SOLUCIONA LA SOLICITUD;FALTA DE RESPUESTA
1698337804734-92;DETRACTOR;Levantamiento De Hipoteca;CLASICO;FUI ATENDIDA POR EL DANIEL GUTIERREZ  PERSONA QUE ME ATENDIO  DESCORTESMENTE, SIN DARME SOLUCION, SOLO  VALIA  LO QUE EL DIJERA. REALICE  DOS LEVANTAMIENTO DE HIPOTECAS UNA FUE SATISFACTORIA, LA SEGUNDA FALTABA QUE ME ENVIARAN LA ESCRITURA FISICAMENTE Y EL SR. DANIEL ME DIJO QUE DEBIA  LLAMAR A LA NOTARIA 79..LLAME  A LA NOT 79 Y ME ATENDIO  MARIA Y ELLA  ME DIJO Q TENIA  QUE COMUNICARME CON DAVIVIENDA, LLAME NUEVAMENTE ATENDIENDOME EL SR DANIEL SIN DARME SOLUCION, PUES SOLICITE QUE ME LA ENVIARAN LA ESCRITURA FISICAMENTE COMO LO DICE EN EL CORREO QUE ME ENVIARON Y COMO HICIERON CON LA OTRA, LAS DEMAS  PERSONAS  ME ATENDIERON BIEN.  MI INCONFORMIDAD  FUE CON   DANIEL.;INCONFORMIDAD SERVICIO
CES-1090519611;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME DAN UNAS SOLUCION NI ME AYUDAN A SOLUCIONAR;OTRO
CES-1075686619;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PASARON 40 MINUTOS EN LINEA Y NADIE ME ATENDIO;OTRO
CES-1038819054;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME HA LLEGADO EL PRODUCTO HACE MAS DE 15 DIAS;OTRO
CES-1026270473;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;AUN ME ENCUENTRO A LA ESPERA DE MI PAZ  Y SALVO.;OTRO
CES-12107998;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;FUI A RENOVAR MI CREDITO Y NO ME LO DIERON EL ASESOR ME DIJO QUE ERA POLITICA DEL BANCO;OTRO
CES-1143835788;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA ATENCION;OTRO
CES-51681224;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME DIERON SOLUCION;OTRO
1698435486558-02;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;LA ULTIMA VEZ ME DECEPCIONO, ME OCASIONO DANOS Y PERJUICIOS, POR LA DEMORA Y TRAMITOLOGIA PARA RESPONDER LO REQUERIDO.  SOY UNA PERSONA CUMPLIDORA, ME DESVELO POR HACERLO Y ASI MISMO ME GUSTA QUE ME RESUELVAN MIS PETICIONES. DEBEN REVISAR EL TEMA DE LA CENTRALIZACION DE MANEJO, PUDIENDOLO HACER CADA OFICINA.;DEMORA TRAMITE
CES-94380182;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL ASESOR NO ME DIO NINGUNA ALTERNATIVA SOLO LA QUE EL QUISO Y YA;OTRO
1-36726578;DETRACTOR;Poderes Leasing;CLASICO;YO NO TENGO UN LEASING ACTIVO CON USTEDES;INCONFORMIDAD SERVICIO
1700490460245-75;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;MAL SERVICIO PESIMA LA ATENCION Y LENTAS LAS CAJERAS.EN TERREROS NO HAY UN ORDEN EN LA ATENCION MAL SERVICIO;OTRO
CES-98487862;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;DEMORADO, NO CUMPLEN....CALL CENTER INOPERANTE, ASI COMO TAMBIEN LA ENTREGA, QUE NO SE HA HECHO.....SERVICIO PESIMO;FALTA DE RESPUESTA
CES-1040739345;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MALO;OTRO
1700147139736-60;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;ES LA PEOR GESTION QUE HE REALIZADO EN UN BANCO, EL PERSONAL NO ESTA CAPACITADO, NO MANEJAN LA MISMA INFORMACION, LOS TIEMPOS DE RESPUESTA SON INCREIBLEMNTE LARGOS.;DEMORA TRAMITE
CES-91078762;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME DIERON RESPUESTA ALO QUE SOLICITE;DEMORA TRAMITE
1-71875385;DETRACTOR;Poderes Leasing;CLASICO;INCREIBLE LOS INTERESES MAS ALTOS QUE LOS ABONOS A CAPITAL DE LA CUOTA MENSUAL;OTRO
CES-1020730222;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LA VERDAD ESTE MES HAN PASADO DE SER EL BANCO QUE YO DECIA ES EL MEJOR A SER PESIMOS CON SU DEMORA PARA CONTESTAR LA LLAMADAS, PUEDO TARDAR MEDIA HORA Y AUN NO HAN CONTESTADO, CON LA GROSERIA DE SUS AGENTES DEL CALL CENTER Y ADICIONAL CON LA FALTA DE COLABORACION PARA SOLUCIONAR EL PROBLEMA QUE UDS MISMOS OCASIONARON;OTRO
CES-7179475;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;NEFASTO QUE ENGANEN A LAS PERSONAS CON PRODUCTOS QUE NO CUMPLEN CON LO OFRECIDO Y DEBI CANCELAR 2 VECES EL PRODUCTO Y PAGAR 2 VECES PARA PODER CANCELAR, TODO PARA QUE NO ME REPORTARAN, ES LO PEOR QUE HE TENIDO EN PRODUCTOS DE TARJETA;OTRO
CES-46660458;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;POR FAVOR, PONGAN A PERSONAL QUE SI RESPETE AL USUARIO. QUE SEA MAS HUMANO, EFICIENTE, EFICAZ Y EFECTIVO. NO HAY DERECHO A TANTA BURLA. HACEN PERDER TIEMPO Y DINERO. NO DAN SOLUCIONES QUE VALGAN LA PENA. EL ULTIMO QUE ME ATENDIO DIJO QUE EN10 MINUTOS TENDRIA MI CERTIFICADO EN MI CORREO MARTHAPITAEDU@GMAIL.COM Y YA HAN PASADO 6 DIAS Y NI SIQUIERA UNA DISCULPA. QUE TAL ESE PESIMO SERVICIO;OTRO
1-19331044;DETRACTOR;Poderes Leasing;PREMIUM PLUS;PESIMA INFORMACION PRE DURANTE Y POSTERIOR POR PARTE DE USTEDES Y DE  CIEN CUADRAS SON UNOS DIGITADORES QUE NO SIRVEN PARA NADA , LA QUE SI ES EXCELENTE Y ORIENTA Y COLABORA CON TODO EL PROCESO ES LA NOTARIA 29 . ES DECIR TUVE QUE BUSCAR UN ASESOR EXTERNO POR EJEMPLO PARA REDACTAR LA CARTA DIRIGIDA A DAVIVIENDA Y PAGAR LOS HONORARIOS CORRESPONDIENTES , YO MISMO RECOJI TODA LA DOCUMENTACION SIN TENER AYUDA DE 100 CUADRAS , LA VERDAD NO VI SU UTILIDAD DISCULPEN LA FRANQUEZA PERO EL SERVICIO ES PESIMO;CLARIDAD INFORMACION
CES-66824644;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;DEBEN MEJORAR LOS PROCESOS PARA QUE HACER USO DE ESE CANAL SEA CONFIABLE Y EFICIENTE. MUY DECEPCIONADA CON LA GESTION.;OTRO
CES-52199722;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;HACE MAS DE 24 HORAS ME DIJERON QUE EN 45 MINUTOS CONSULTARA NUEVAMENTE LA APP Y YA IBA A ENCONTRAR LOS MOVIMIENTOS DE MI FIC.  UNA MENTIRA DE PIES A CABEZA;OTRO
1-66903211;DETRACTOR;Poderes Leasing;CLASICO;UDS MANEJAN PUBLICIDAD ENGANOSA. SOLO ESPERO TERMINAR RAPIDO MI COMPROMISO CON UDS Y NO VOLVERLOS A UTILIZAR PARA NADA.;INCONFORMIDAD SERVICIO
