RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION;f
Ces-51930268;DETRACTOR;Certificaciones Especiales;CLASICO;necesito por tramite y una y no salvo dicen obtenido, en la clave. un que por grabacion dice el paz lo la la haga que telefono he pagina o oficina app y alli necesito la y;ENTREGA DOCUMENTOS;171
Ces-1018452275;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;Dos cosas: no soy Daniel Felipe Garzon y segundo llevo dos meses esperando una respuesta de Davivienda y los asesores del Call Center se contradicen ... PESIMA CSPACITACION;FALTA DE RESPUESTA;172
Ces-1018452275;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;dos contradicen y soy dos esperando garzon felipe segundo llevo no meses davivienda una pesima de y se los asesores del cosas: center respuesta daniel ... call cspacitacion;FALTA DE RESPUESTA;172
1712349822235-67;DETRACTOR;Poderes Leasing;PREMIUM;POR QUE CUANDO A MI ME HICIERON EL LEASING ME DIJERON QUE LO PODIA PAGAR POR EL POR LA TARJETA Y YA LUEGO QUE YA NO SE PODIA POR AHI ME TOCA CAMBIAR Y INTENTAR POR OTRO LADO;CLARIDAD INFORMACION;173
1712349822235-67;DETRACTOR;Poderes Leasing;PREMIUM;por que cuando a mi me no lo y ya dijeron que leasing luego pagar por me por por tarjeta lado y otro que ya hicieron se el por ahi me toca cambiar el intentar podia podia la;CLARIDAD INFORMACION;173
Ces-1020822648;DETRACTOR;Certificaciones Especiales;CLASICO;Mucha demora para la entrega de una tarjeta y no dan solucion en sus canales de atencion solo hicieron seguimiento a la solicitud cuando inicie proceso con la superintendencia;OTRO;175
1659538547295-05;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;todo lo manejan por internet, por correo esa empresa privada nunca contesta toco buscar esa oficina, la atencion virtual es buena pero no en estos casos. fue pesima y perversa;INCONFORMIDAD SERVICIO;175
1-41371637080;DETRACTOR;Copia De Documentos Cartera;CLASICO;MUY DEMORADA LA.RESPUESTA Y NO ME SOLUCIONARON Y SI ME ESTAN COBRANDO UNOS INTERESES QUE NO SE DE DONDE SI TENIA UN PRESTAMO DE LIBRE INVERSION CON CUOTAS FIJAS Y CUOTAS FIJAS;DEMORA TRAMITE;175
1-41371637080;DETRACTOR;Copia De Documentos Cartera;CLASICO;muy demorada la.respuesta me no si solucionaron y donde me que cobrando unos intereses y libre no cuotas si y tenia un de de estan inversion con se fijas fijas cuotas prestamo;DEMORA TRAMITE;175
Ces-1038547009;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Solicite 2 veces tarjeta de credito que nunca llevaron a mi domicilio, no se comunicaron conmigo. He llamado 2 veces solicitando un paz y salvo que a la fecha no me ha llegado.;OTRO;176
Ces-53905195;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Nunca envian nada. Atienden la llma te demoran haciendote creee que te van a solucionar el problema t3 dice qu3 3nviaran la informacion al correo y mienten ko envian nunca nada;ENTREGA DOCUMENTOS;176
Ces-1061691963;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No han resuelto nada, dejan esperando en linea no cumplen con lo que dicen no prestan buen servicio, no me entregan mi tarjeta de credito desde febrero, muy deficiente el banco;OTRO;176
Ces-53905195;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;nunca mienten la atienden la llma nada. demoran qu3 creee que nada van a solucionar el problema haciendote dice ko 3nviaran te informacion nunca correo y al t3 envian envian te;ENTREGA DOCUMENTOS;176
Ces-1020449314;DETRACTOR;Certificaciones Especiales;CLASICO;No me resuelven el problema. No hay flexibilidad en mi solicitud. Las alternativas que planteo tampoco se pueden. Al final sigo sin recibir mi producto y no se puede hacer nada.;FALTA DE RESPUESTA;177
1689709742538-95;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;Les falta mucho servicio al cliente a los asesores. Humildad y no mirar la gente como va vestida si no cuanto lleva en sus bolsillos  y en todos los davivienda tenaz la atencion;OTRO;177
1-45380223579;DETRACTOR;Copia De Documentos Cartera;PREMIUM;AUN NO ME HAN LLEGADO LOS DOCUMENTOS COPIA DEL PAGARE DEL LIBRANZA LO HE PEDIDO DOS O TRES VECES Y NO ME HA LLEGADO REALMENTE EL 1 ES MUCHO PARA ESTO DEBERIA DE SER TODO UN SERO;ENTREGA DOCUMENTOS;177
Ces-1020449314;DETRACTOR;Certificaciones Especiales;CLASICO;se resuelven planteo el problema. no hay flexibilidad en mi y pueden. alternativas que me tampoco producto no mi final al sin recibir hacer las sigo no se puede solicitud. nada.;FALTA DE RESPUESTA;177
1-45380223579;DETRACTOR;Copia De Documentos Cartera;PREMIUM;aun no me sero llegado llegado documentos copia del pagare del los he lo veces han o para de dos no me es y realmente el ha libranza mucho tres esto pedido deberia ser todo un 1;ENTREGA DOCUMENTOS;177
Ces-19378779;DETRACTOR;Certificaciones Especiales;CLASICO;En la sucursal de davivienda mall plaza esteroide en la oficina mas de 3 horas y no pudieron dar solucion incluyendo la directora...y pesima atencion por parte de la Directora...;OTRO;178
POL-1032404649;DETRACTOR;Poderes Leasing Call Center;PREMIUM;SER MAS CLARO EN LOS PROCESOS, MEJOR ASESORAMIENTO POR PARTE DE LOS ASESORES. ME SIENTO AFECTADO, YO CONTRATE CON UNAS CONDICIONES DIFERENTES, DEBO MUCHO MAS DE LOS QUE SOLICITE.;CLARIDAD INFORMACION;178
CES-1093769142;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ESTE BANCO MANEJA INTERESES MUY ALTOS EN SUS CREDITOS Y SU SEGURIDAD EN LA CUENTAS DE AHORROS ES MUY MALA SE PRESTAN PARA QUE LOS LADRONES ESTAFEN CON CHEQUES SIN FONDOS Y FALSOS;OTRO;178
POL-1032404649;DETRACTOR;Poderes Leasing Call Center;PREMIUM;ser mucho unas en los procesos, mejor con por parte de los asesores. me siento afectado, asesoramiento contrate mas solicite. debo claro que yo mas de los condiciones diferentes,;CLARIDAD INFORMACION;178
CES-79398030;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;Que me he comunicado tres veces por este medio y no me han dado solucion a mi requerimiento de una certificacion me dicen que despues me la envian a mi correo y no ha sido posible;FALTA DE RESPUESTA;179
CES-79398030;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;que me he comunicado me una y este medio y no que me sido dado a mi requerimiento de no certificacion envian dicen despues veces me la tres a mi correo por han ha solucion posible;FALTA DE RESPUESTA;179
Ces-1113685003;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me bloquearon la tarjeta, no pude pagar el credito, trate mil veces pagar por pse y no me permitio, y por telefono las chicas muy amables pero me transferian a cartera y se cortaba;OTRO;180
Ces-1069302478;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;He solicitado mas de tres veces el envio de un certificado donde Davivienda mencione que no hay problema que realicemos levantamiento de patrimonio familiar del inmueble hipotecado;FALTA DE RESPUESTA;180
1-43804465200;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;LA DESPERSONALIZACION EN LA ATENCION POR PARTE DEL AREA DE CARTERA, HACE QUE NO HAYA COORDINACION EN EL SERVICIO Y ESO PERJUDICA AL CLIENTE O USUARIO. FUE UNA MUY MALA EXPERIENCIA.;INCONFORMIDAD SERVICIO;180
Ces-1069302478;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;realicemos solicitado del de mas veces no envio de un certificado el davivienda que mencione hipotecado hay problema que he levantamiento de donde tres familiar inmueble patrimonio;FALTA DE RESPUESTA;180
1675088317811-33;DETRACTOR;Poderes Leasing;CLASICO;No me han dado respuesta a mi requerimiento Incumplen promesa de contestar en 48 horas Necesito urgente el poder q solicite. Me estan afectando demasiado por lo demorado del proceso;FALTA DE RESPUESTA;181
CES-51932314;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;HABLE CON MAS DE UN ASESOR ROGANDO EL FAVOR ME ENTREGARAN LA TARJETA EN BOGOTA Y NO FUE POSIBLE. DURANTE TRES DIAS CONSECUTIVOS NO ATENDIERON LAS EXTENSIONES DE LA OFICINA CALLE 19.;OTRO;181
1717094922097-21;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;LA ATENCION EN LA OFICINA FUE HORRIBLE, LA INFORMACION QUE ME DIERON FUE ERRADA. SE DEMORO 15 DIAS EN HACER LA SOLICITUD. QUE REALMENTE ES IMPOSIBLE QUE NO SE CONOZCAN LOS TRAMITES.;CLARIDAD INFORMACION;181
1675088317811-33;DETRACTOR;Poderes Leasing;CLASICO;poder me a dado respuesta del mi requerimiento incumplen urgente de demasiado contestar 48 horas demorado proceso el afectando en solicite. me estan promesa q por lo han necesito no;FALTA DE RESPUESTA;181
1717094922097-21;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;hacer 15 en la realmente fue horrible, la se que conozcan dieron que informacion se demoro atencion dias en fue la solicitud. que errada. es imposible la no me oficina los tramites.;CLARIDAD INFORMACION;181
1667234856225-87;DETRACTOR;Copia De Documentos Cartera;CLASICO;Falta mucha comunicacion entre el banco y el usuario, el servicio en los cajeros pesimo, o no hay plata o de 3 cajeros funciona un solo, o estan haciendo aseo y no se pueden utilizar;CLARIDAD INFORMACION;182
1668701731408-56;DETRACTOR;Levantamiento De Hipoteca;CLASICO;nos perjudico la demora por parte de el equipo 100 cuadras, me gustaria que hubiera una linea de atencion donde uno se pueda comunicar directamente con un asesor y no desde un correo;DEMORA TRAMITE;182
Pol-8071657;DETRACTOR;Poderes Leasing;CLASICO;El no poder para pagar el predial le falta informacion y el asesor no fue claro con lo que requeria para hacer el proceso incluyendo el asesor de la oficina fisica Davivienda mayorca;CLARIDAD INFORMACION;182
1680552630656-25;DETRACTOR;Levantamiento De Hipoteca;CLASICO;DAVIVIENDA ME LO ASIGNO A 100 CUADRAS Y ME FUE MUY MAL LAS EMPRESAS QUE CONTRATAN PARA HACER EL TRAMITE SON DEFICIENTES PORQUE NUNCA ME TERMINARON EL PROCESO Y SI ME LO COBRARON TODO;INCONFORMIDAD SERVICIO;182
1668701731408-56;DETRACTOR;Levantamiento De Hipoteca;CLASICO;nos perjudico la demora hubiera parte de el equipo que cuadras, uno un 100 gustaria no de comunicar atencion donde por se pueda me un con directamente linea y una desde asesor correo;DEMORA TRAMITE;182
Ces-1032397377;DETRACTOR;Certificaciones Especiales;CLASICO;Terrible el servicio no he recibido ayuda frente a mi caso me siento  maltratada por esta entidad apenas me desblokeen mi  vida financiera voy a cancelar todo vinculo con esta entidad;INCONFORMIDAD SERVICIO;183
1687383317536-14;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Tengo otro vehiculo, el cual quedo pagado el prestamo en su totalidad, y hace mas de un mes no me han enviado el link para pagar y que en remitan los papeles de levantamiento de prenda!;CLARIDAD INFORMACION;185
1716918671527-64;DETRACTOR;Poderes Leasing;CLASICO;ES MUCHA VUELTA. EL INMUEBLE ESTA EN BUCARAMANGA Y LOS PAPELES ESTAN PARA HACERLO EN BOGOTA. QUE NO TODO SE MANEJE POR LA APP, QUE HAYA UNA OFICINA EN BUCARAMANGA QUE SE PUEDA REALIZAR.;INCONFORMIDAD SERVICIO;185
1-45795781919;DETRACTOR;Copia De Documentos Cartera;PREMIUM;SOLICITE LA PRIMERA VEZ EL DOCUMENTO Y ME LO ENVIARON EQUIVOCADO LO VOLVI A SOLICITAR Y ME ENVIARON EL QUE NO ERA TRATARE DE HACERLO POR TERCERA OCASION LAS EXPLICACIONES SOBRAN GRACIAS;FALTA DE RESPUESTA;185
CES-1073996696;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;TENGO 20 DIAS LLAMANDO PORQ EN LA APP NO ME APARECE PRODUCTO Y NO ME DAN SOLUCION A PARTE NO ME DEJA ACTUALIZAR LA CLAVE DE LA TARJETA LLAMO Y NO ME DAN SOLUCION, SON UNOS INCOMPETENTES;OTRO;185
1687383317536-14;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;su un mes otro cual quedo el vehiculo, prestamo en el totalidad, mas hace el y remitan han no me de enviado y link para pagar de que en tengo los papeles pagado levantamiento de prenda!;CLARIDAD INFORMACION;185
1-45795781919;DETRACTOR;Copia De Documentos Cartera;PREMIUM;me me primera vez el documento de a lo que volvi lo solicite y equivocado y el enviaron enviaron solicitar no era tratare explicaciones hacerlo por tercera ocasion las la sobran gracias;FALTA DE RESPUESTA;185
Ces-53012816;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Esta bien que hagan su trabajo de cobranza. Pero no esta bien que despues de que le informen. U o sigan insistiendo cuando uno no tiene ni para comer. Por favor senores asesores respeto.;OTRO;186
1712266710414-05;DETRACTOR;Certificaciones Especiales;CLASICO;CUANDO UNO PIDA INFORMACION O SE ACERCA A UNA OFICINA LA GENTE SEPA QUE RESPONDER,LA GENTE DE LA OFICINA NO TIENE NI IDEA,DAN INFORMACION ERRADA,NO SABEN,LO HACEN PERDER EL TIEMPO A UNO.;CLARIDAD INFORMACION;186
1-41803424159;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;MALISIMOS NO ME LLEGAN LOS EXTRACTOS NO ME SUPO EXPLICAR NADA NI SACARME D DUDAS PUES YA HABIA HECHO DOS PAGOS EL MES D ABRIL PAGANDO LA CUOTA D MAYO Y ELLA NO ME SUPO DECIR ACERCA D ESO;CLARIDAD INFORMACION;186
CES-42086920;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;ME HAN NEGADO CONSECUTIVAMENTE ENTREGARME 3 CONTRATOS DE LEASING 5730-6485 Y 7928 EN SU TOTALIDAD , PERJUDICANDO ENORMEMENTE LA VENTA DE MI BIEN INMUEBLE , ME ESTAN VULNERANDO UN DERECHO;INCONFORMIDAD SERVICIO;186
CES-19177232;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;EL BANCO NO ATIENDE LAS NECESIDADES DEL CLIENTE DE MANERA EFICIENTE. NO CUMPLE EL PRINCIPIO DE BUENA FE DISPUESTO EN LA CONSTITUCION BAJO EL ARGUMENTO FALSO PARA MI CASO DE LA SEGURIDAD.;INCONFORMIDAD SERVICIO;186
1712266710414-05;DETRACTOR;Certificaciones Especiales;CLASICO;cuando informacion pida la o se acerca a gente errada,no uno gente sepa que ni tiempo de oficina la no tiene responder,la idea,dan una informacion saben,lo hacen perder el oficina a uno.;CLARIDAD INFORMACION;186
1-41803424159;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;malisimos sacarme dudas supo los el ni no extractos explicar nada la me d no pues ya abril hecho dos no d mes acerca me pagando llegan cuota d mayo y ella pagos me supo decir habia d eso;CLARIDAD INFORMACION;186
1684956215751-05;DETRACTOR;Poderes Leasing;PREMIUM;La atencion en la oficina donde solicite el permiso para instalar los servicios en un apartamento con leasing fue exelente , sin embargo todavia no recibo respuesta acerca de mi solicitud;INCONFORMIDAD SERVICIO;187
1713560586632-97;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;MUY COMPLICADO EL TEMA DEL LEVANTAMIENTO DE PRENDA,SOY CLIENTE DESDE EL 2012 PERO AHORA SE PERDIO TODO LO BUENO QUE TIENE DAVIVIENDA,NOS TOCO 4 PAGOS NOS DIERON UN SALDO,LUEGO OTRO Y OTRO.;CLARIDAD INFORMACION;188
1713560586632-97;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;muy toco desde todo del un de que prenda,soy pagos el 2012 pero ahora el perdio complicado lo bueno otro. tiene davivienda,nos y 4 tema nos dieron se saldo,luego otro cliente levantamiento;CLARIDAD INFORMACION;188
Ces-51815474;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Recomiendo que por favor mejoren el servicio ya que los documentos que pedi no me llegaron, voy a averiguar en oficina y me dicen que es en cartera por telefono y alli no me dan informacion;ENTREGA DOCUMENTOS;189
Ces-51815474;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;dicen no por favor oficina en me ya que telefono documentos dan pedi los mejoren llegaron, voy a servicio me que y recomiendo me que es que cartera por el y alli no en averiguar informacion;ENTREGA DOCUMENTOS;189
1-31515891625;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;la experiencia fue muy desagradable yo realice el pago para la asesoria me indicaron que no por esto se demoro dos semanas mas y llamaba a ciencuadras y se demoraban dos horas para responder;DEMORA TRAMITE;190
1665690283985-86;DETRACTOR;Levantamiento De Hipoteca;CLASICO;CON DAVIVIENDA ME A IDO MUY BIEN PERO CON 100 CUADRAS ES HORRIBLE YO TENGO TODO CON DAVIVIENDA PERSONAL Y EMPRESARIAL PERO ESA EMPRESA LOS HACE CAER MUY MAL. ES HORRIBLE EL SERVICIO DE ELLOS;INCONFORMIDAD SERVICIO;190
1684506467079-48;DETRACTOR;Certificaciones Especiales;INCLUSION;ME PARECE EL COLMO QUE HAYAN ACEPTADO OTRO DEUDOR DE MI CREDITO DE VIVIENDA DESDE ENERO Y ME SIGAN COBRANDO INTERESES DE MORA Y GASTOS JURIDICOS PROCEDERE A UNA DEMANDA EN LA SUPERFINANCIERA;OTRO;190
1-42611643532;DETRACTOR;Copia De Documentos Cartera;CLASICO;NO ME HAN ENTREGADO LA RESPUESTA, EL ASESOR ME DICE QUE NO DEPENDE DE EL Y QUE EN 48 HORAS DABAN LA RESPUESTA Y ESO FUE EL MES PASADO, DEBERIAN DE ESTAR INFORMANDOLE A UNO COMO VA EL PROCESO;FALTA DE RESPUESTA;190
CES-41366224;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUY LENTO EL PROCESO.PAGAMOS EL CREDITO Y LO DEMAS QUE PIDIERON Y NO HEMOS PODIDO LEVANTAR LA PRENDA, ESTAMOS TOTALMENTE INSATISFECHOS. LA COMUNICACION ENTRE DAVIVIENDA Y NOSOTROS, ES PESIMA;INCONFORMIDAD SERVICIO;190
1-42484641732;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NO ME INFORMARON NI SOLUCIONARON EL TEMA DE PAGOS QUE AHORA ME EXIGE UN CODIGO AL CELULAR QUE NUNCA LLEGAN Y QUE AL WHATSAPP QUE DE SI Y QUE 10 MINUTOS QUE NUNCA SE CUMPLEN Y QUEDE SIN PAGAR;INCONFORMIDAD SERVICIO;190
CES-71626019;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LASTIMA POR ATENCION EN OFICINAS DEL BANCO INCLUSO CON CITA SEPARADA Y CONFIRMADA CON GERENTE DE SUCURSAL NO LES IMPORTE EL CLIENTE NATURAL COMO YO Y CON TODO PAGADO AL DIA SINO LAS EMPRESAS;INCONFORMIDAD SERVICIO;190
1-31515891625;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;la muy fue dos asesoria yo esto se pago para la llamaba me y que no por demoro indicaron realice dos para mas semanas desagradable responder ciencuadras y se demoraban experiencia horas a el;DEMORA TRAMITE;190
1-42611643532;DETRACTOR;Copia De Documentos Cartera;CLASICO;no informandole me fue la respuesta, deberian asesor horas dice que a depende de el de me en 48 que el y respuesta entregado eso mes el daban no la y estar han pasado, uno como va el proceso;FALTA DE RESPUESTA;190
Ces-53160981;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me informaron que el plastico de la tarjeta de credito me lo dejaban en Porteria y cuando vinieron no lo dejaron porque el titular no estaba,no he podido hacer el pago y ya se vencio el plazo;OTRO;191
1682023785635-19;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;Pesima la atencion y el servicio de la empresa, creo que se llama 100 cuadras, la experiencia fue tan mala que es mejor no recordar cual es el nombre para no correr el riesgo de recomendarla.;INCONFORMIDAD SERVICIO;191
1-37384705631;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Nadie da razon de las escrituras que preste a merito ejecutivo, ni en el call, ni en oficina y la empresa que llevo a cabo el proceso.. se tiran la pelota de uno al otro. Que falta de respeto;INCONFORMIDAD SERVICIO;191
1704976885033-44;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;MAL POR QUE TERMINA UNO COMO USUARIO EL GESTOR DE LOS TRAMITES, EN CUANTO A SOLICITUDES DE CREDITO NUNCA REALIZAN LLAMADAS PARA CONFIRMAR REFERENCIAS Y LUEGO LE DICEN A UNO QUE ESTA RECHAZADO;OTRO;191
Ces-1022386339;DETRACTOR;Certificaciones Especiales;CLASICO;Se demoraron en entregar la tarjeta. Me llamaron 2 veces para confirmar la direccion y fue entregado en otra direccion. Es un pesimo servicio que no quisiera volver a contar con sus servicios.;OTRO;192
CES-29613745;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ESTOY ESPERANDO EL PLASTICO DE MI TARJETA DE CREDITO HACE UN POCO MAS DE UN MES, Y ME DICE QUE LA DIRECCION ESTA INCOMPLETA. HOY DECIDI QUE LA RECOJO EN LA OFICINA DE LA UNION VALLE DEL CAUCA.;OTRO;192
CES-3215983;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;HE SOLICITADO UN CERTIFICADO DE PAZ Y SALVO EN DOS OCASIONES POR EL CHAT Y SIEMPRE ME INDICAN QUE LO ENVIAN AL CORREO PERO NO LLEGA Y EL ASESOR CIERRA EL CHAT MIENTRAS UNO BUSCA LA INFORMACION;ENTREGA DOCUMENTOS;192
1701102390585-05;DETRACTOR;Cambio De Condiciones(Cambio De Garantia);CLASICO;sabia verdad eso nadie el que que la hacer ni lleva el la ni siquiera ni que saco muy me daba respuesta proceso mala la persona la me persona siquiera credito atencion sabia 3 meses ahi en fue;CLARIDAD INFORMACION;192
CES-3215983;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;uno por un no y llega asesor siempre pero dos ocasiones solicitado el chat y he me indican en lo envian al correo que el certificado de el y cierra paz chat mientras salvo busca la informacion;ENTREGA DOCUMENTOS;192
Pol-293393;DETRACTOR;Poderes Leasing;CLASICO;No he recibido respuesta a mi solicitud, cada vez que llamo al servicio se corta la llamada y nadie la devuelve. A cada nueva llamada hay que contar el caso completo de nuevo. Pesimo servicio!!;FALTA DE RESPUESTA;193
1-37906452459;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;*no entiendo como compartieron los datos posterior a lo que fue el procedimiento y se comunico alguien conmigo que para hacer los traspasos pero no me dejaron y eso si me dejan un mal sin sabor;INCONFORMIDAD SERVICIO;193
CES-3055776;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EN LA VIDA DE MI CREDITO NO HE LOGRADO ME ENVIEN EL EXTRACTO. Q TRISTEZA Y SERVICIO PESIMO Y AHORA NI SIQUIERA ME PUEDEN ENVIAR UN  EMAIL PARA SABER MI CUOTA DE PAGO.  Q SERVICIO TAN DEPLORABLE;OTRO;193
Pol-293393;DETRACTOR;Poderes Leasing;CLASICO;la cada completo respuesta a nuevo. que cada mi que llamo al servicio se corta solicitud, llamada el nadie la devuelve. y a servicio!! llamada hay he contar nueva caso no de recibido pesimo vez;FALTA DE RESPUESTA;193
1682625392400-75;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Muchos pasos, y al final aun estoy a la espera de certificado de libertad y tradicion libre de hipoteca y en la notaria designada no dan solucion, sino que debo yo misma viajar a buscar solucion;ENTREGA DOCUMENTOS;194
1-36370991150;DETRACTOR;Poderes Leasing;PREMIUM PLUS;Tener que abrir una cuenta en una oficina para una multinacional es mal servicio si no tiene las herramientas para identificar el potencial de cliente ni las habilidades para resolver las dudas.;OTRO;194
CES-1075303951;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SOLICITE PAZ Y SALVO DE UN CREDITO DE LIBRANZA EL LUNES 15 DE ABRIL Y NO ME HA LLEGADO AL CORREO ELECTRONICO ME INDICARON QUE ME LLEGARIA AL CORREO ELECTRONICO EL MARTES O MAS TARDE EL MIERCOLES;DEMORA TRAMITE;194
1682625392400-75;DETRACTOR;Levantamiento De Hipoteca;CLASICO;sino al y espera final aun estoy debo la a de certificado de libertad y tradicion libre misma hipoteca designada en la dan a no muchos viajar solucion que notaria yo y de solucion, buscar pasos,;ENTREGA DOCUMENTOS;194
CES-1075303951;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;solicite paz y salvo de el lunes el libranza credito 15 correo de abril me no mas de al llegaria correo electronico martes indicaron que me me al un electronico ha miercoles o y tarde el llegado;DEMORA TRAMITE;194
1-35754756458;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Considero que mi solicitud no  fue atendida de manera eficiente pues la persona que me atendio debio de solicitar ayuda a su superior  o a los de atencion al cliente, para solucionar mi peticion,;INCONFORMIDAD SERVICIO;195
1-7724286;DETRACTOR;Poderes Leasing;CLASICO;HAY DISCRIMINACION EN LA OFICINA DEL CENTRO COMERCIAL VENTURA TERREROS EN SOACHA CUNDINAMARCA. ALLI ME QUERIAN QUE HICIERA UNA FILA CON MI PROBLEMA DE SALUD SINCOPE Y ESO QUE SOY CLIENTE DE NOMINA;OTRO;196
CES-5581494;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;UNA EXPERIENCIA MUY NEGATIVA, NO LE RECOMIENDO A NADIE, ME PROMETIERON UNA COSA Y ME COBRARON OTRA, ME COBRARON UN SEGURO AL INICIO QUE SI NO RECLAMO  A TIEMPO EN QUE HUBIERA TERMINADO.    GRACIAS;OTRO;196
1701102390585-05;DETRACTOR;Cambio De Condiciones(Cambio De Garantia);CLASICO;LA VERDAD FUE MUY MALA LA ATENCION  LA PERSONA QUE LLEVA EL PROCESO NI SIQUIERA SABIA QUE HACER  NADIE ME DABA RESPUESTA NI SIQUIERA LA PERSONA QUE ME SACO EL CREDITO  NI SABIA 3 MESES  AHI EN ESO;CLARIDAD INFORMACION;196
CES-19271043;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;CADA DIA ESTOY MAS DEFRAUDADO DE USTEDES, ANTES LO RECOMENDABA Y ESTABA MUY SATISFECHO. ESTOY EN PROCESO DE IRME A OTRA ENTIDAD, YA HE RETIRADO MIS INVERSIONES PARA OTRO LUGAR QUE ME ATIENDA MEJOR;INCONFORMIDAD SERVICIO;196
1-37304257768;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;el interes dinero muy alto, la escritura el que predial banco cooperaba pero no, pago el el de penso el tenia y meses no le que el ano de estaba primeros todo los casa davivienda devolvio la banco;CLARIDAD INFORMACION;196
1-39473871146;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;LLAME 3 VECES HOY EN LA MANANA. UNA LLAMADA DEMORO 1 HORA 34 MINUTOS Y TUVE QUE COLGAR. VOLVI A LLAMAR Y ME DECIAN QUE ME TRANSFERIAN AL AREA ENCARGADA 3 VECES LO HICIERON PESIMA LA ATENCION DE HOY;OTRO;197
1-37304257768;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;EL INTERES ESTABA MUY ALTO, LA ESCRITURA PENSO QUE EL BANCO COOPERABA PERO NO, PAGO EL PREDIAL DE TODO EL ANO Y DAVIVIENDA NO LE DEVOLVIO  EL DINERO DE LOS PRIMEROS MESES QUE EL BANCO TENIA LA CASA;CLARIDAD INFORMACION;197
1706649422904-16;DETRACTOR;Poderes Leasing;CLASICO;SOLICITO EL PODER EN LA OFICINA Y POR LA PAGINA Y NO LE HA LLEGADO, LE INDICARON QUE EL CORREO ESTABA DESACTUALIZADO CUANDO NO ES ASI Y ADEMAS LE DICEN CUANDO LLAMA QUE EL PODER AUN ESTA EN PROCESO;DEMORA TRAMITE;197
CES-65588105;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;INCONFORMISMO LLEGO 4 DIAS LLAMANDO PARA SOLICITAR UNA CERTIFICACION ME DEMORAN MAS DE 40 MINUTOS EN CADA LLAMADA Y ME DICEN QUE YA ME LA ENVIAN AL CORREO Y A LA FECHA NUNCA ME HA LLEGADO AL CORREO;INCONFORMIDAD SERVICIO;197
1706649422904-16;DETRACTOR;Poderes Leasing;CLASICO;solicito el el en asi la ademas por cuando ha y no que poder le que indicaron llegado, le correo estaba desactualizado la no es poder y pagina le dicen cuando el llama oficina y aun esta en proceso;DEMORA TRAMITE;197
